2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(weight, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(added_at, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(last_processed_id, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(last_scanned_at, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(error_count, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(meta_data, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(scan_interval, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(priority, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(custom_filters, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(monitored_trends, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(trend_thresholds, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(notification_channels, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(alert_template, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(silence_hours, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(rate_limit, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(sentiment_analysis, Column)
